state,county,fipscode,fipscode2,office,district,total.votes,party,candidate,votes
AK,Electoral District 1,2901,290100000,Ballot Measure No. 1 - 17FSH2,statewide,5458,No party,NO,3418
AK,Electoral District 1,2901,290100000,Ballot Measure No. 1 - 17FSH2,statewide,5458,No party,YES,2040
AK,Electoral District 10,2910,291000000,Ballot Measure No. 1 - 17FSH2,statewide,6223,No party,NO,3092
AK,Electoral District 10,2910,291000000,Ballot Measure No. 1 - 17FSH2,statewide,6223,No party,YES,3131
AK,Electoral District 11,2911,291100000,Ballot Measure No. 1 - 17FSH2,statewide,3961,No party,NO,1973
AK,Electoral District 11,2911,291100000,Ballot Measure No. 1 - 17FSH2,statewide,3961,No party,YES,1988
AK,Electoral District 12,2912,291200000,Ballot Measure No. 1 - 17FSH2,statewide,3697,No party,NO,2522
AK,Electoral District 12,2912,291200000,Ballot Measure No. 1 - 17FSH2,statewide,3697,No party,YES,1175
AK,Electoral District 13,2913,291300000,Ballot Measure No. 1 - 17FSH2,statewide,5985,No party,NO,2840
AK,Electoral District 13,2913,291300000,Ballot Measure No. 1 - 17FSH2,statewide,5985,No party,YES,3145
AK,Electoral District 14,2914,291400000,Ballot Measure No. 1 - 17FSH2,statewide,7598,No party,NO,4115
AK,Electoral District 14,2914,291400000,Ballot Measure No. 1 - 17FSH2,statewide,7598,No party,YES,3483
AK,Electoral District 15,2915,291500000,Ballot Measure No. 1 - 17FSH2,statewide,7507,No party,NO,4916
AK,Electoral District 15,2915,291500000,Ballot Measure No. 1 - 17FSH2,statewide,7507,No party,YES,2591
AK,Electoral District 16,2916,291600000,Ballot Measure No. 1 - 17FSH2,statewide,5775,No party,NO,3545
AK,Electoral District 16,2916,291600000,Ballot Measure No. 1 - 17FSH2,statewide,5775,No party,YES,2230
AK,Electoral District 17,2917,291700000,Ballot Measure No. 1 - 17FSH2,statewide,8314,No party,NO,5607
AK,Electoral District 17,2917,291700000,Ballot Measure No. 1 - 17FSH2,statewide,8314,No party,YES,2707
AK,Electoral District 18,2918,291800000,Ballot Measure No. 1 - 17FSH2,statewide,7156,No party,NO,4483
AK,Electoral District 18,2918,291800000,Ballot Measure No. 1 - 17FSH2,statewide,7156,No party,YES,2673
AK,Electoral District 19,2919,291900000,Ballot Measure No. 1 - 17FSH2,statewide,8004,No party,NO,5303
AK,Electoral District 19,2919,291900000,Ballot Measure No. 1 - 17FSH2,statewide,8004,No party,YES,2701
AK,Electoral District 2,2902,290200000,Ballot Measure No. 1 - 17FSH2,statewide,8051,No party,NO,5958
AK,Electoral District 2,2902,290200000,Ballot Measure No. 1 - 17FSH2,statewide,8051,No party,YES,2093
AK,Electoral District 20,2920,292000000,Ballot Measure No. 1 - 17FSH2,statewide,7696,No party,NO,4760
AK,Electoral District 20,2920,292000000,Ballot Measure No. 1 - 17FSH2,statewide,7696,No party,YES,2936
AK,Electoral District 21,2921,292100000,Ballot Measure No. 1 - 17FSH2,statewide,10376,No party,NO,6488
AK,Electoral District 21,2921,292100000,Ballot Measure No. 1 - 17FSH2,statewide,10376,No party,YES,3888
AK,Electoral District 22,2922,292200000,Ballot Measure No. 1 - 17FSH2,statewide,8319,No party,NO,6061
AK,Electoral District 22,2922,292200000,Ballot Measure No. 1 - 17FSH2,statewide,8319,No party,YES,2258
AK,Electoral District 23,2923,292300000,Ballot Measure No. 1 - 17FSH2,statewide,5958,No party,NO,4732
AK,Electoral District 23,2923,292300000,Ballot Measure No. 1 - 17FSH2,statewide,5958,No party,YES,1226
AK,Electoral District 24,2924,292400000,Ballot Measure No. 1 - 17FSH2,statewide,7688,No party,NO,5805
AK,Electoral District 24,2924,292400000,Ballot Measure No. 1 - 17FSH2,statewide,7688,No party,YES,1883
AK,Electoral District 25,2925,292500000,Ballot Measure No. 1 - 17FSH2,statewide,9535,No party,NO,5272
AK,Electoral District 25,2925,292500000,Ballot Measure No. 1 - 17FSH2,statewide,9535,No party,YES,4263
AK,Electoral District 26,2926,292600000,Ballot Measure No. 1 - 17FSH2,statewide,6131,No party,NO,3283
AK,Electoral District 26,2926,292600000,Ballot Measure No. 1 - 17FSH2,statewide,6131,No party,YES,2848
AK,Electoral District 27,2927,292700000,Ballot Measure No. 1 - 17FSH2,statewide,9206,No party,NO,3815
AK,Electoral District 27,2927,292700000,Ballot Measure No. 1 - 17FSH2,statewide,9206,No party,YES,5391
AK,Electoral District 28,2928,292800000,Ballot Measure No. 1 - 17FSH2,statewide,8834,No party,NO,5057
AK,Electoral District 28,2928,292800000,Ballot Measure No. 1 - 17FSH2,statewide,8834,No party,YES,3777
AK,Electoral District 29,2929,292900000,Ballot Measure No. 1 - 17FSH2,statewide,7884,No party,NO,4117
AK,Electoral District 29,2929,292900000,Ballot Measure No. 1 - 17FSH2,statewide,7884,No party,YES,3767
AK,Electoral District 3,2903,290300000,Ballot Measure No. 1 - 17FSH2,statewide,8311,No party,NO,6025
AK,Electoral District 3,2903,290300000,Ballot Measure No. 1 - 17FSH2,statewide,8311,No party,YES,2286
AK,Electoral District 30,2930,293000000,Ballot Measure No. 1 - 17FSH2,statewide,7112,No party,NO,4615
AK,Electoral District 30,2930,293000000,Ballot Measure No. 1 - 17FSH2,statewide,7112,No party,YES,2497
AK,Electoral District 31,2931,293100000,Ballot Measure No. 1 - 17FSH2,statewide,4405,No party,NO,1843
AK,Electoral District 31,2931,293100000,Ballot Measure No. 1 - 17FSH2,statewide,4405,No party,YES,2562
AK,Electoral District 32,2932,293200000,Ballot Measure No. 1 - 17FSH2,statewide,5162,No party,NO,1972
AK,Electoral District 32,2932,293200000,Ballot Measure No. 1 - 17FSH2,statewide,5162,No party,YES,3190
AK,Electoral District 33,2933,293300000,Ballot Measure No. 1 - 17FSH2,statewide,5587,No party,NO,3109
AK,Electoral District 33,2933,293300000,Ballot Measure No. 1 - 17FSH2,statewide,5587,No party,YES,2478
AK,Electoral District 34,2934,293400000,Ballot Measure No. 1 - 17FSH2,statewide,8620,No party,NO,4653
AK,Electoral District 34,2934,293400000,Ballot Measure No. 1 - 17FSH2,statewide,8620,No party,YES,3967
AK,Electoral District 35,2935,293500000,Ballot Measure No. 1 - 17FSH2,statewide,4003,No party,NO,2707
AK,Electoral District 35,2935,293500000,Ballot Measure No. 1 - 17FSH2,statewide,4003,No party,YES,1296
AK,Electoral District 36,2936,293600000,Ballot Measure No. 1 - 17FSH2,statewide,6845,No party,NO,4028
AK,Electoral District 36,2936,293600000,Ballot Measure No. 1 - 17FSH2,statewide,6845,No party,YES,2817
AK,Electoral District 37,2937,293700000,Ballot Measure No. 1 - 17FSH2,statewide,6905,No party,NO,4578
AK,Electoral District 37,2937,293700000,Ballot Measure No. 1 - 17FSH2,statewide,6905,No party,YES,2327
AK,Electoral District 38,2938,293800000,Ballot Measure No. 1 - 17FSH2,statewide,7235,No party,NO,5500
